카테고리,메뉴명,정보,용량,1회제공량(kcal),나트륨(mg),포화지방(g),당류(g),단백질(g),카페인(mg)
콜드 브루 커피,"나이트로 바닐라 크림
Nitro Vanilla Cream",부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,355ml,80,40,2,10,1,232
콜드 브루 커피,"나이트로 콜드 브루
Nitro Cold Brew","(나이트로 콜드 브루 매장 한정)
나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.",355ml,5,5,0,0,0,245
콜드 브루 커피,"돌체 콜드 브루
Dolce Cold Brew","무더운 여름철,
동남아 휴가지에서 즐기는 커피를 떠오르게 하는
스타벅스 음료의 베스트 x 베스트 조합인
돌체 콜드 브루를 만나보세요!",355ml,265,130,9,29,8,155
콜드 브루 커피,"리저브 나이트로
Reserve Nitro","나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.",355ml,5,0,0,0,0,190
콜드 브루 커피,"리저브 콜드 브루
Reserve Cold Brew",리저브 커피 마스터의 정성으로 차갑게 추출한 깊고 부드러운 풍미의 커피,355ml,5,0,0,0,0,190
콜드 브루 커피,"막걸리향 크림 콜드 브루
Rice Cream Cold Brew","산에서 만날 수 있는 특별한 경험을 모티브로해 달콤, 향긋한 비알코올 막걸리 향 크림과 고소한 쌀 토핑으로 즐길 수 있는 콜드 브루",355ml,300,65,13,32,3,53
콜드 브루 커피,"민트 콜드 브루
Mint Cold Brew","상쾌한 민트향 시럽과 잘게 갈린 얼음이
어우러져 시원함이 강렬하게 느껴지는 리저브만의
콜드 브루 음료",473ml,100,0,0,23,0,415
콜드 브루 커피,"바닐라 크림 콜드 브루
Vanilla Cream Cold Brew",콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,355ml,125,58,6,11,3,155
콜드 브루 커피,"시그니처 더 블랙 콜드 브루
Signature The Black Cold Brew","콜드 브루 전용 원두를 차가운 물로 매장에서 직접
추출하여 부드럽고 진한 풍미의 콜드브루를
언제 어디서나 편하게 즐겨보세요 (전용 보틀 /500ml)",500ml,25,50,0,0,0,680
콜드 브루 커피,"여수 윤슬 헤이즐넛 콜드브루
Yeosu Shining Hazelnut Cold Brew","햇빛이나 달빛에 비치어 반짝이는 잔물결이라는
""윤슬""을 형상화한 헤이즐넛 콜드브루",,245,85,9,27,5,53
콜드 브루 커피,"오트 콜드 브루
Oat Cold Brew","콜드 브루의 풍미와 깔끔한 오트음료(식물성 대체유)가 어우러진 달콤 고소한 라떼.
식물성 대체유를 사용해 모든 고객이 부담없이 즐길 수 있는 콜드 브루 음료",355ml,120,95,0.3,14,1,65
콜드 브루 커피,"제주 비자림 리저브 콜드 브루
Jeju Forest Reserve Cold Brew","[더제주송당파크R 한정판매]
제주 말차, 리저브 콜드 브루로
제주 천년의 숲 비자림을 표현한 음료",473ml,210,100,4.2,26,8,250
콜드 브루 커피,"콜드 브루
Cold Brew","스타벅스 바리스타의 정성으로 탄생한 콜드 브루!

콜드 브루 전용 원두를 차가운 물로 추출하여 한정된 양만 제공됩니다.
깊은 풍미의 새로운 커피 경험을 즐겨보세요.",355ml,5,11,0,0,0,155
콜드 브루 커피,"콜드 브루
Cold Brew","스타벅스 바리스타의 정성으로 탄생한 콜드 브루!
콜드 브루 전용 원두를 차가운 물로 추출하여 한정된 양만 제공됩니다.
실크같이 부드럽고 그윽한 초콜릿 풍미의 콜드 브루를 만나보세요!",887ml,5,25,0,0,0,360
콜드 브루 커피,"콜드 브루 몰트
Cold Brew Malt","[리저브 전용음료] 리저브 콜드 브루, 바닐라 아이스크림, 몰트가 블렌딩된 리저브만의 쉐이크",355ml,505,150,20,41,7,190
콜드 브루 커피,"콜드 브루 플로트
Cold Brew Float",[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,355ml,225,70,10,18,3,190
콜드 브루 커피,"흑임자 크림 콜드 브루
Black Sesame Cream Cold Brew","[제주 Only]흑임자 크림의 고소함에
콜드 브루의 깔끔함을 더해
제주 돌담길의 정겨움을 표현한 음료",473ml,210,40,12,13,6,200
브루드 커피,"아이스 커피
Iced Coffee","시즌에 어울리는 원두 종류를 선정하여 드립 방식으로 추출한 후 얼음과 함께 제공하는 커피로, 원두 커피의 풍부하고 깔끔한 맛을 느끼실 수 있습니다.",355ml,5,10,0,0,0,140
브루드 커피,"오늘의 커피
Brewed Coffee","시즌에 어울리는 원두 종류를 선정하여 신선하게 브루드(Brewed)되어 제공되는 드립커피로, 원두 커피의 풍부한 맛과 향을 따뜻하게 즐기실 수 있습니다.",355ml,5,15,0,0,0,260
에스프레소,"스타벅스 1호점 카페 아메리카노
Starbucks 1st Store Caffe Americano",풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 뜨거운 물을 섞어 깔끔하게 즐길 수 있는 스타벅스 이대점만의 블랙 커피 음료,,10,0,0,0,1,210
에스프레소,"아이스 스타벅스 1호점 카페 아메리카노
Iced Starbucks 1st Store Caffe Americano",풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 얼음과 물을 섞어 시원하고 깔끔하게 즐길 수 있는 스타벅스 이대점만의 블랙 커피 음료,,10,0,0,0,1,210
에스프레소,"마롱 헤이즐넛 라떼
Marron Hazelnut Latte","달콤한 마롱 플레이버와 고소한 풍미의 블론드 에스프레소가 조화로운 라떼 음료
밤의 맛은 더 진하게, 칼로리와 당류는 더 가볍게 돌아 왔습니다.",355ml,215,140,4.6,27,7,85
에스프레소,"아이스 마롱 헤이즐넛 라떼
Iced Marron Hazelnut Latte","달콤한 마롱 플레이버와 고소한 풍미의 블론드 에스프레소가 조화로운 라떼 음료
밤의 맛은 더 진하게, 칼로리와 당류는 더 가볍게 돌아 왔습니다.",355ml,160,95,2.9,23,5,85
에스프레소,"블랙 글레이즈드 라떼
Black Glazed Latte","가을 시즌 대표 음료! 돌아온 블랙 글레이즈드 라떼
짙고 풍부한 커피와 달콤하고 부드러운 글레이즈드 폼의 조화
특유의 맛과 풍미는 살리고 전년 대비 칼로리와 당을 줄여서 다시 돌아왔어요!",355ml,300,190,11,30,8,75
에스프레소,"스타벅스 1호점 카페 라떼
Starbucks 1st Store Caffe Latte",풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 신선한 우유를 스팀하여 커피 위에 우유 거품을 살짝 얹은 스타벅스 이대점만의 카페 라떼 음료,,200,150,6,15,10,210
에스프레소,"스타벅스 1호점 크림 라떼
Starbucks 1st Store Cream Latte","""Coffee & Tea & Spice""스타벅스 첫번째 로고에서 착안한 음료로 스파이시한 향의 달콤하고 부드러운 커피 차이 크림폼, 풍부한 바디감의 별다방 블렌드 원두를 사용한 깊고 부드러운 크림 라떼 음료",,215,25,12,19,2,210
에스프레소,"아이스 블랙 글레이즈드 라떼
Iced Black Glazed Latte","가을 시즌 대표 음료! 돌아온 블랙 글레이즈드 라떼
짙고 풍부한 커피와 달콤하고 부드러운 글레이즈드 폼의 조화
특유의 맛과 풍미는 살리고 전년 대비 칼로리와 당을 줄여서 다시 돌아왔어요!",355ml,260,160,10,26,5,75
에스프레소,"아이스 스타벅스 1호점 카페 라떼
Iced Starbucks 1st Store Caffe Latte",풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 신선한 우유와 얼음이 만나 고소함과 시원함을 즐길 수 있는 스타벅스 이대점만의 카페 라떼 음료,,110,80,3.2,8,6,210
에스프레소,"아이스 스타벅스 1호점 크림 라떼
Iced Starbucks 1st Store Cream Latte","""Coffee & Tea & Spice""스타벅스 첫번째 로고에서 착안한 음료로 스파이시한 향의 달콤하고 부드러운 커피 차이 크림폼, 풍부한 바디감의 별다방 블렌드 원두를 사용한 깊고 부드러운 크림 라떼 음료",,215,25,12,19,2,210
에스프레소,"에스프레소 콘 파나
Espresso Con Panna","신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",22ml,30,0,1.5,1,0,75
에스프레소,"에스프레소 마키아또
Espresso Macchiato","신선한 에스프레소 샷에 우유 거품을 살짝 얹은 커피 음료로써, 강렬한 에스프레소의 맛과 우유의 부드러움을 같이 즐길 수 있는 커피 음료",22ml,10,0,0,0,1,75
에스프레소,"아이스 카페 아메리카노
Iced Caffe Americano",진한 에스프레소에 시원한 정수물과 얼음을 더하여 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽고 시원하게 즐길 수 있는 커피,355ml,10,5,0,0,1,150
에스프레소,"카페 아메리카노
Caffe Americano",진한 에스프레소와 뜨거운 물을 섞어 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피,355ml,10,5,0,0,1,150
에스프레소,"아이스 카라멜 마키아또
Iced Caramel Macchiato",향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,355ml,190,110,4.6,22,6,75
에스프레소,"카라멜 마키아또
Caramel Macchiato",향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,355ml,200,130,5,22,8,75
에스프레소,"아이스 카푸치노
Iced Cappuccino",풍부하고 진한 에스프레소에 신선한 우유와 우유 거품이 얼음과 함께 들어간 시원하고 부드러운 커피 음료,355ml,110,90,3.5,9,6,75
에스프레소,"카푸치노
Cappuccino",풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,355ml,110,70,3,8,6,75
에스프레소,"라벤더 카페 브레베
Lavender Cafe Breve",진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,355ml,400,140,22,30,8,105
에스프레소,"바닐라 빈 라떼
Vanilla Bean Latte",리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,355ml,245,150,6,27,9,210
에스프레소,"사케라또 비안코 오버 아이스
Shakerato Bianco Over Ice",얼음과 같이 쉐이킹하여 차가워진 진한 리저브 에스프레소와 하우스 메이드 크림이 어우러진 달콤한 음료,355ml,270,45,18,14,3,315
에스프레소,"스타벅스 돌체 라떼
Starbucks Dolce Latte",스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,355ml,255,190,2.6,39,12,150
에스프레소,"아이스 라벤더 카페 브레베
Iced Lavender Cafe Breve",진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,355ml,335,110,18,27,6,105
에스프레소,"아이스 바닐라 빈 라떼
Iced Vanilla Bean Latte",리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,355ml,155,75,2.9,20,5,210
에스프레소,"아이스 스타벅스 돌체 라떼
Iced Starbucks Dolce Latte",스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,355ml,230,145,2.5,35,10,150
에스프레소,"아이스 인절미 크림 라떼
Iced Injeolmi Cream Latte",고소하고 쌉싸름한 맛의 콩고물과 쫀득한 식감의 인절미 젤리를 달콤한 크림이 얹어진 커피와 함께 즐길 수 있는 라떼,355ml,450,180,16,43,9,75
에스프레소,"아이스 카페 라떼
Iced Caffe Latte",풍부하고 진한 농도의 에스프레소가 시원한 우유와 얼음을 만나 고소함과 시원함을 즐길 수 있는 대표적인 커피 라떼,355ml,110,75,3.5,8,6,75
